EDM,2023,EDM,EDM,Team Level,other,23,0.58,0.58,0.59,3422.0,48.55,9.62,3.66,8.91,1.65,27.06,16.1,9.33,9.62,9.33,46.0,21.0,17.0,84.0,8.0,4.0,2.0,3.0,0.0,29.0,23.0,38.0,59.0,2.0,4.0,36.0,6.0,14.0,11.0,40.0,12.0,15.0,1.57,1.48,6.57,1.0,1.0,6.0,84.0,67.0,67.0,4.0,1.05,1.43,1.43,9.23,9.23,9.14,33.19,6.87,2.32,6.2,1.24,16.84,12.53,6.4,6.87,6.4,34.0,12.0,15.0,61.0,9.0,1.0,0.0,1.0,1.0,13.0,21.0,25.0,37.0,3.0,4.0,42.0,10.0,6.0,11.0,24.0,12.0,10.0,1.02,1.43,4.42,2.0,2.0,5.0,61.0,46.0,46.0,6.0,0.67,0.24,0.24,7.3,7.3,6.83
EDM,2023,EDM,EDM,Team Level,all,23,0.57,0.55,0.55,83510.0,809.56,85.77,56.72,193.64,27.17,424.14,308.56,82.11,85.98,82.3,769.0,327.0,410.0,1506.0,79.0,94.0,13.0,58.0,3.0,500.0,362.0,690.0,1017.0,102.0,225.0,744.0,463.0,202.0,241.0,778.0,213.0,105.0,23.2,26.75,35.82,23.0,28.0,28.0,1511.96,1096.0,1100.16,129.0,12.69,21.25,21.29,77.17,77.42,75.51,669.58,65.66,45.29,162.25,22.38,359.36,259.07,63.62,65.97,63.92,664.0,250.0,324.0,1238.0,80.0,56.0,12.0,52.0,5.0,414.0,307.0,584.0,834.0,96.0,211.0,709.0,495.0,176.0,225.0,664.0,180.0,70.0,19.38,22.3,23.98,23.0,27.0,30.0,1240.96,914.0,917.82,131.0,10.08,11.19,11.19,64.54,64.78,63.34
EDM,2023,EDM,EDM,Team Level,5on5,23,0.57,0.56,0.55,65748.0,621.66,57.61,41.62,157.4,20.91,322.91,241.55,55.2,57.81,55.4,588.0,254.0,328.0,1170.0,48.0,76.0,8.0,48.0,3.0,399.0,268.0,540.0,794.0,85.0,191.0,579.0,435.0,164.0,203.0,611.0,165.0,66.0,18.07,21.02,18.52,18.0,23.0,7.0,1175.97,842.0,846.16,114.0,8.7,15.6,15.64,50.67,50.92,49.75,511.23,43.09,32.72,129.47,16.85,269.73,202.13,42.03,43.4,42.33,508.0,186.0,235.0,929.0,51.0,49.0,10.0,44.0,4.0,310.0,236.0,457.0,643.0,80.0,181.0,529.0,454.0,144.0,179.0,519.0,135.0,40.0,15.11,16.91,11.07,14.0,21.0,16.0,931.96,694.0,697.82,114.0,6.8,8.42,8.42,41.47,41.71,41.17
EDM,2023,EDM,EDM,Team Level,4on5,23,0.12,0.15,0.16,7905.0,23.55,2.03,1.19,3.47,0.71,7.0,15.61,2.0,2.03,2.0,24.0,6.0,10.0,40.0,2.0,1.0,0.0,0.0,0.0,4.0,23.0,22.0,28.0,3.0,6.0,61.0,17.0,15.0,12.0,20.0,7.0,3.0,0.45,0.9,0.67,0.0,1.0,1.0,40.0,30.0,30.0,10.0,0.27,0.15,0.15,2.14,2.14,2.14,113.97,14.5,9.66,24.88,3.96,69.19,36.82,13.99,14.5,13.99,111.0,48.0,72.0,231.0,18.0,6.0,2.0,6.0,0.0,87.0,42.0,93.0,141.0,8.0,16.0,89.0,16.0,6.0,25.0,109.0,33.0,17.0,2.92,3.96,7.62,6.0,4.0,8.0,231.0,159.0,159.0,2.0,2.47,2.54,2.54,14.44,14.44,14.01
EDM,2023,EDM,EDM,Team Level,5on4,23,0.93,0.93,0.91,6435.0,115.79,16.52,10.24,23.86,3.9,67.17,35.31,15.57,16.52,15.57,111.0,46.0,55.0,212.0,21.0,13.0,3.0,7.0,0.0,68.0,48.0,90.0,136.0,12.0,24.0,68.0,5.0,9.0,15.0,107.0,29.0,21.0,3.1,3.36,10.06,4.0,3.0,14.0,212.0,157.0,157.0,1.0,2.66,4.06,4.06,15.12,15.12,14.48,11.19,1.2,0.59,1.7,0.33,3.59,7.6,1.2,1.2,1.2,11.0,4.0,2.0,17.0,2.0,0.0,0.0,1.0,0.0,4.0,8.0,9.0,13.0,5.0,10.0,49.0,15.0,20.0,10.0,12.0,0.0,3.0,0.34,0.0,0.86,1.0,0.0,1.0,17.0,15.0,15.0,9.0,0.14,0.0,0.0,1.33,1.33,1.33
VGK,2023,VGK,VGK,Team Level,other,27,0.5,0.54,0.54,2794.0,51.07,11.31,3.75,9.35,1.82,25.82,17.96,10.79,11.31,10.79,46.0,24.0,21.0,91.0,10.0,3.0,0.0,0.0,0.0,38.0,19.0,36.0,60.0,2.0,4.0,33.0,5.0,15.0,10.0,35.0,18.0,17.0,1.3,2.1,7.92,1.0,2.0,7.0,91.0,70.0,70.0,4.0,1.06,0.71,0.71,11.65,11.65,11.11,44.8,11.44,2.85,8.25,1.45,19.52,16.48,9.9,11.44,9.9,46.0,14.0,19.0,79.0,13.0,4.0,0.0,2.0,1.0,18.0,22.0,33.0,47.0,6.0,10.0,45.0,11.0,3.0,7.0,30.0,9.0,21.0,1.01,1.01,9.42,3.0,0.0,10.0,79.0,60.0,60.0,1.0,0.83,1.94,1.94,10.34,10.34,9.13
VGK,2023,VGK,VGK,Team Level,all,27,0.52,0.5,0.51,99080.0,877.4,91.13,60.68,205.67,29.35,472.95,346.24,87.44,92.06,88.37,881.0,325.0,470.0,1676.0,86.0,98.0,7.0,54.0,1.0,555.0,412.0,795.0,1120.0,92.0,213.0,783.0,520.0,226.0,205.0,861.0,239.0,106.0,24.71,29.1,37.32,31.0,26.0,29.0,1704.43,1206.0,1222.7,114.0,13.56,21.23,21.28,83.41,84.33,82.35,835.77,83.57,57.61,203.3,29.0,457.76,331.77,79.13,83.09,78.67,794.0,369.0,540.0,1703.0,63.0,85.0,7.0,55.0,2.0,529.0,429.0,731.0,1100.0,112.0,247.0,766.0,487.0,180.0,211.0,870.0,187.0,106.0,25.12,22.49,35.96,17.0,18.0,28.0,1685.71,1163.0,1154.31,113.0,12.77,18.85,18.85,77.5,77.05,74.14
VGK,2023,VGK,VGK,Team Level,5on5,27,0.53,0.49,0.51,78693.0,671.37,61.21,44.13,165.71,22.61,359.88,271.46,58.41,62.14,59.34,676.0,249.0,368.0,1293.0,51.0,84.0,4.0,39.0,1.0,431.0,319.0,625.0,874.0,79.0,187.0,601.0,484.0,182.0,167.0,673.0,188.0,64.0,19.99,23.09,18.12,25.0,20.0,6.0,1321.43,925.0,941.7,101.0,9.16,17.6,17.66,52.71,53.62,52.49,648.37,54.18,42.77,165.56,22.68,356.44,263.38,52.3,53.7,51.84,625.0,280.0,432.0,1337.0,40.0,65.0,6.0,46.0,1.0,420.0,333.0,585.0,865.0,98.0,221.0,582.0,443.0,147.0,172.0,708.0,138.0,59.0,20.11,17.03,17.04,14.0,15.0,11.0,1319.71,905.0,896.31,96.0,8.89,13.83,13.83,49.23,48.79,47.93
VGK,2023,VGK,VGK,Team Level,4on5,27,0.12,0.13,0.15,8406.0,23.25,2.14,1.25,2.98,0.71,7.45,16.47,2.12,2.14,2.12,23.0,8.0,6.0,37.0,4.0,0.0,0.0,1.0,0.0,7.0,19.0,19.0,27.0,2.0,4.0,56.0,26.0,20.0,8.0,21.0,7.0,3.0,0.6,0.88,0.66,1.0,2.0,1.0,37.0,31.0,31.0,8.0,0.29,0.0,0.0,2.43,2.43,2.41,124.0,16.14,10.91,26.59,4.29,75.75,39.32,15.14,16.14,15.14,103.0,70.0,83.0,256.0,9.0,14.0,1.0,7.0,0.0,87.0,56.0,94.0,164.0,7.0,14.0,71.0,4.0,6.0,19.0,115.0,34.0,24.0,3.35,3.76,9.01,0.0,3.0,6.0,256.0,173.0,173.0,5.0,2.82,2.92,2.92,16.03,16.03,15.2
VGK,2023,VGK,VGK,Team Level,5on4,27,0.9,0.89,0.88,9187.0,131.71,16.47,11.55,27.62,4.22,79.8,40.34,16.12,16.47,16.12,136.0,44.0,75.0,255.0,21.0,11.0,3.0,14.0,0.0,79.0,55.0,115.0,159.0,9.0,18.0,93.0,5.0,9.0,20.0,132.0,26.0,22.0,2.81,3.04,10.62,4.0,2.0,15.0,255.0,180.0,180.0,1.0,3.07,2.91,2.91,16.63,16.63,16.35,18.61,1.82,1.08,2.9,0.57,6.05,12.59,1.79,1.82,1.79,20.0,5.0,6.0,31.0,1.0,2.0,0.0,0.0,0.0,4.0,18.0,19.0,24.0,1.0,2.0,68.0,29.0,24.0,13.0,17.0,6.0,2.0,0.64,0.68,0.49,0.0,0.0,1.0,31.0,25.0,25.0,11.0,0.24,0.16,0.16,1.89,1.89,1.89
